Bribery case: Former BJP president Bangaru Laxman gets four ...,NDTV,28 Apr 2012,http://www.ndtv.com/india-news/bribery-case-former-bjp-president-bangaru-laxman-gets-four-years-in-jail-479182,New Delhi: Eleven years after he was filmed accepting a bribe in a fictitious arms deal  former BJP president Bangaru Laxman was today sentenced to four years ...
Rs. 14-crore bribe offered to Army chief VK Singh recorded on tape ...,NDTV,27 Mar 2012,http://www.ndtv.com/india-news/rs-14-crore-bribe-offered-to-army-chief-vk-singh-recorded-on-tape-sources-473600,New Delhi: Dramatic new twists emerged today in the case of the 14-crore bribe that was offered to the Army chief General VK Singh in 2010. Defence Minister ...
Former BJP chief Bangaru Laxman convicted for taking bribe  taken ...,Times of India,27 Apr 2012,http://timesofindia.indiatimes.com/india/Former-BJP-chief-Bangaru-Laxman-convicted-for-taking-bribe-taken-into-custody/articleshow/12894886.cms,NEW DELHI: Former BJP president Bangaru Laxman has been convicted  11 years after he was caught on camera allegedly taking bribe in a sting operation.
Army chief bribe row and the shady world of arms deals,Firstpost,27 Mar 2012,http://www.firstpost.com/india/army-chief-bribe-row-and-the-shady-world-of-arms-deals-257626.html,The Army chief   Gen VK Singh's  sensational allegation that he was offered a Rs 14 crore bribe by a retired Army officer-turned-lobbyist (subsequently identified ...
When Osama bin Laden paid a bribe in Pakistan: report,NDTV,26 Dec 2012,http://www.ndtv.com/world-news/when-osama-bin-laden-paid-a-bribe-in-pakistan-report-508588,Islamabad: Even the world's most wanted terrorist could not escape the bribery dragnet. Osama bin Laden's safe-house in Pakistan's garrison city Abbottabad ...
Indian-Canadian businessman claims he bribed Praful Patel,India Today,2 Feb 2012,http://indiatoday.intoday.in/story/praful-patel-canadian-businessman-nazir-karigar-bribe/1/171784.html,Indian-Canadian businessman Nazir Karigar claims he paid a $ 250 000 bribe to Praful Patel to get an Air India contract when he was civil aviation minister.
Bail-for-sale: Inside jail  Janardhana Reddy worked on plot to bribe ...,NDTV,23 Jul 2012,http://www.ndtv.com/cheat-sheet/bail-for-sale-inside-jail-janardhana-reddy-worked-on-plot-to-bribe-judge-493952,Hyderabad: Three judges in Andhra Pradesh have been arrested for allegedly offering - or accepting - bribes in exchange for bail for powerful politician G ...
Commercial tax officer takes bribe  arrested,Times of India,4 Sep 2012,http://timesofindia.indiatimes.com/city/chennai/Commercial-tax-officer-takes-bribe-arrested/articleshow/16257864.cms,CHENNAI: Directorate of vigilance and anti-corruption (DVAC) sleuths have arrested a commercial tax officer (CTO) in Mylapore for taking a bribe of 15 000 from ...
Insurance company surveyor held for taking Rs 8000 bribe,Times of India,22 Feb 2012,http://timesofindia.indiatimes.com/city/pune/Insurance-company-surveyor-held-for-taking-Rs-8000-bribe/articleshow/12002391.cms,PUNE: The CBI's Anti-Corruption Bureau (ACB) on Tuesday arrested the surveyor of New India Assurance Company Limited while accepting Rs 8 000 as bribe ...
Income tax officer booked for demanding Rs 65 lakh in bribe; kin held,Times of India,16 Sep 2012,http://timesofindia.indiatimes.com/city/hyderabad/Income-tax-officer-booked-for-demanding-Rs-65-lakh-in-bribe-kin-held/articleshow/16423378.cms,HYDERABAD: An Income Tax officer from East Godavari district in Andhra Pradesh has been booked by the CBI for allegedly demanding a bribe of Rs 65 lakh ...
Wait  bribe  and settle down for another wait,Times of India,20 Jun 2012,http://timesofindia.indiatimes.com/city/delhi/Wait-bribe-and-settle-down-for-another-wait/articleshow/14309369.cms,In January  I got my passport is sued in Delhi within five days. No hassles  no standing in line. Please do not ask me how. You know how. You just have to know ...
Kapil Sibal tried to bribe me with Aakash tablet: Narendra Modi,NDTV,4 Oct 2012,http://www.ndtv.com/india-news/kapil-sibal-tried-to-bribe-me-with-aakash-tablet-narendra-modi-500923,Today Mr Modi has accused the education minister  whose ministry has worked on the tablet  of misusing public funds and trying to "bribe" him with a couple of ...
Ex-BJP chief Bangaru Laxman gets bail in Tehelka sting case,India Today,11 Oct 2012,http://indiatoday.intoday.in/story/delhi-high-court-former-bjp-president-bangaru-laxman-bribery-case/1/224285.html,Laxman has been in jail for accepting a bribe of Rs 1 lakh in a fictitious arms deal case about 11 years ago. Headlines Today Bureau. New Delhi  October 11  ...
CBI books Tejinder Singh for bribe offer  searches his premises,The Hindu,20 Oct 2012,http://www.thehindu.com/news/national/cbi-books-tejinder-singh-for-bribe-offer-searches-his-premises/article4016114.ece,Lieutenant General (retired) Tejinder Singh has been booked by the Central Bureau of Investigation for allegedly offering a bribe to the then Army chief V. K. ...
Anti-Corruption Bureau arrests SDM for taking Rs 25k bribe,Times of India,9 Jun 2012,http://timesofindia.indiatimes.com/city/jaipur/Anti-Corruption-Bureau-arrests-SDM-for-taking-Rs-25k-bribe/articleshow/13980246.cms,JAIPUR: A sub divisional magistrate (SDM) and his reader were arrested by Anti Corruption Bureau (ACB) for allegedly accepting a bribe of Rs 25 000 for ...
Sales-tax officers get 5-year RI for bribery,Indian Express,31 Oct 2012,http://archive.indianexpress.com/news/salestax-officers-get-5year-ri-for-bribery/1024877/,A sessions court convicted two sales-tax officers on Wednesday of accepting a bribe of Rs 95 000 and sentenced them to five years rigorous imprisonment (RI).
B'lore costliest City for bribe to avoid parking fine,Deccan Herald,20 Mar 2012,http://www.deccanherald.com/content/236156/blore-costliest-city-bribe-avoid.html,B'lore costliest City for bribe to avoid parking fine. Bangalore  Mar 20  2012  DH News Service: Anti-graft portal findings assess 'market price of corruption' in 6 ...
Bribed transport officials let rogue trucks unleash on Delhi roads,India Today,26 Aug 2012,http://indiatoday.intoday.in/story/bribed-transport-officials-let-rogue-trucks-unleash-on-delhi-roads/1/214754.html,RTO officials wantonly take bribes from drivers of overloaded or unfit trucks and allow their entry into the city  which routinely cause jams and often topple over ...
'No home registration without bribe',Times of India,5 Dec 2012,http://timesofindia.indiatimes.com/city/noida/No-home-registration-without-bribe/articleshow/17499162.cms,"The officials are hand-in-glove with touts who are busy fleecing helpless people who have no choice but to pay the bribe to obtain documents " said Brij Kishore ...
Rs. 50 won't mitigate bribery  rules court,The Hindu,29 May 2012,http://www.thehindu.com/news/national/rs-50-wont-mitigate-bribery-rules-court/article3469760.ece,Observing that corruption corrodes the nation's spine and makes its economy sterile  the Supreme Court has held that corrupt officials do not deserve any ...
Brigadier arrested for allegedly taking bribe to promote products in ...,NDTV,3 Jul 2012,http://www.ndtv.com/india-news/brigadier-arrested-for-allegedly-taking-bribe-to-promote-products-in-central-stores-department-490937,Mumbai: A serving Brigadier has been arrested by the Central Bureau of Investigation (CBI) for alleged irregularities in the purchase of consumer goods for ...
Kumaraswamy claims Deve Gowda offered bribe when he was PM,Daily News & Analysis,29 Mar 2012,http://www.dnaindia.com/india/report-kumaraswamy-claims-deve-gowda-offered-bribe-when-he-was-pm-1669057,Fifteen years after his father's stint as PM  Kumaraswamy claimed his father was offered bribe by middlemen involved in defence deals but the JD(S) supremo ...
CBI arrests IT official  CA for taking bribe,Zee News,9 Sep 2012,http://zeenews.india.com/news/delhi/cbi-arrests-i-t-official-ca-for-taking-bribe_798676.html,New Delhi: The CBI Sunday arrested an income tax officer and a chartered accountant in Bangalore for allegedly accepting a bribe of Rs five lakh from a person  ...
'Mamool' system in sub-registrar offices takes a hit,Deccan Herald,19 May 2012,http://www.deccanherald.com/content/250819/mamool-system-sub-registrar-offices.html,Anywhere property registration facility makes system bribe-free. Sub-registrar offices in Bangalore are no longer the most sought-after postings for corrupt babus.
Lalgudi DSP held while taking bribe,Times of India,19 Jul 2012,http://timesofindia.indiatimes.com/city/madurai/Lalgudi-DSP-held-while-taking-bribe/articleshow/15050010.cms,TRICHY: In a major development  the anti-corruption sleuths of Trichy nabbed the deputy superintendent of police  Lalgudi at the latter's camp office while he ...
Gram sevak held for Rs5 000 bribe to clear farmer's funds,Daily News & Analysis,25 Jul 2012,http://www.dnaindia.com/pune/report-gram-sevak-held-for-rs5000-bribe-to-clear-farmer-s-funds-1719480,The anti-corruption bureau (ACB) of Pune division on Tuesday arrested a 30-year-old gram sevak Devidas Baburav Dhage of Marnewadi village for allegedly ...
CBI records Army Chief General VK Singh's statement on bribe offer,NDTV,20 Apr 2012,http://www.ndtv.com/india-news/cbi-records-army-chief-general-vk-singhs-statement-on-bribe-offer-477717,A team of senior officials was his South Block office to understand the details of the alleged bribe offer made to him and the supporting evidence that he can ...
'Corruption Is Rampant In The Lower Courts',Outlook,30 Jun 2012,http://www.outlookindia.com/magazine/story/corruption-is-rampant-in-the-lower-courts/281457,Charged on the basis of a complaint filed by the CBI  the special judge had allegedly taken a bribe of Rs 5 crore to grant bail to former Karnataka minister Gali ...
Police arrests evangelist KA Paul for attempt to murder  offering bribe,Firstpost,21 May 2012,http://www.firstpost.com/india/police-arrests-evangelist-ka-paul-for-attempt-to-murder-offering-bribe-315920.html,Self-proclaimed evangelist and preacher KA Paul has been arrested by the police in an attempt to murder and bribery case from the Prakasam district of Andhra ...
Mumbai cops plant gun in builder's office  demand Rs 8 lakh bribe,Times of India,30 Nov 2012,http://timesofindia.indiatimes.com/city/mumbai/Mumbai-cops-plant-gun-in-builders-office-demand-Rs-8-lakh-bribe/articleshow/17421235.cms,MUMBAI: A constable  Tulsiram Pawse  posted with Kalyan crime branch was arrested on Thursday while accepting a bribe of Rs 5 lakh from a builder.
Woman lures bag thief back with a 'bribe',NDTV,10 Jul 2012,http://www.ndtv.com/mumbai-news/woman-lures-bag-thief-back-with-a-bribe-491872,Woman lures bag thief back with a 'bribe'. Mumbai | Mid-Day.com | Updated: July 10  2012 12:53 IST. EMAIL. PRINT. COMMENTS. Woman lures bag thief back ...
Another AP judge arrested for taking bribe to give mining baron bail,Firstpost,12 Jul 2012,http://www.firstpost.com/india/another-ap-judge-arrested-for-taking-bribe-to-give-mining-baron-bail-375474.html,Justice K Laxminarsimha Rao who was suspended by the Andhra Pradesh High court for his alleged involvement in granting bail to illegal mining accused  ...
Bail-for-sale scam: Judge arrested for 5 crore bribe,NDTV,18 Jun 2012,http://www.ndtv.com/south/bail-for-sale-scam-judge-arrested-for-5-crore-bribe-488890,Hyderabad: Pattabhi Rama Rao  a CBI judge who was suspended for allegedly accepting a bribe worth five crores to pass bail orders in favour of former ...
Bribe demand by govt staff must for conviction: HC,Daily News & Analysis,14 Aug 2012,http://www.dnaindia.com/mumbai/report-bribe-demand-by-govt-staff-must-for-conviction-hc-1728132,Upon Sharma's enquiry  a peon told him that the case papers were not produced as Selokar ahd not been bribed. Sharma then went to Selokar's house  where ...
Gali Janardhana Reddy gets bail in judge bribery case  to stay in jail,India Today,31 Oct 2012,http://indiatoday.intoday.in/story/janardhana-reddy-gets-bail-in-judge-bribery-case/1/226996.html,Pattabhirama Rao had granted bail to Janardhana Reddy in the OMC case in May after receiving a Rs.9.5-crore bribe from his relatives through a rowdy sheeter.
2 Central Excise officers in CBI net for taking bribe,Daily Bhaskar,23 May 2012,http://daily.bhaskar.com/news/MAH-PUN-2-central-excise-officers-in-cbi-net-for-taking-bribe-3311435.html,2 Central Excise officers in CBI net for taking bribe Pune: The Central Bureau of Investigation's (CBI) anti-corruption unit on Tuesday arrested two senior officers ...
Court set to try central excise commissioner  4 others in bribery case,Daily News & Analysis,8 Nov 2012,http://www.dnaindia.com/india/report-court-set-to-try-central-excise-commissioner-4-others-in-bribery-case-1762117,Special CBI judge Talwant Singh decided to frame charges of criminal conspiracy  misuse of official position and receipt of bribe against Srivastava and four ...
Army Chief seeks more time for detailed bribery complaint,Chandigarh Tribune,3 Apr 2012,http://www.tribuneindia.com/2012/20120404/main4.htm,Army Chief Gen VK Singh has sought a few more days to file a detailed complaint in the alleged bribe offer from a senior retired officer to clear a tranche of ...
Indo-Canadian businessman claims he bribed Praful Patel,Rediff,3 Feb 2012,http://www.rediff.com/news/slide-show/slide-show-1-indo-canadian-businessman-claims-he-bribed-praful-patel/20120203.htm,Nazir Karigar  an Ottawa-based Indo-Canadian entrepreneur  claimed he bribed Heavy Industries Minister and former aviation minister Praful Patel and Air India ...
Chartered accountant caught accepting Rs 1.5 lakh bribe,Times of India,12 Apr 2012,http://timesofindia.indiatimes.com/city/ahmedabad/Chartered-accountant-caught-accepting-Rs-1-5-lakh-bribe/articleshow/12642573.cms,AHMEDABAD: A Rajkot-based chartered accountant  approved by the government for evaluating firms involved in commodity market  was caught by the ...
Prime Minister clears Praful in Canadian bribery case,NDTV,15 Feb 2012,http://www.ndtv.com/india-news/prime-minister-clears-praful-in-canadian-bribery-case-571559,Mr Karigar  according to the case against him  alleged that he had routed a bribe of $250 000 to Mr Patel when the politician was Minister for Civil Aviation.
Councillor bribe charge nixes Rs 6 crore contracts,Times of India,18 May 2012,http://timesofindia.indiatimes.com/city/chennai/Councillor-bribe-charge-nixes-Rs-6-crore-contracts/articleshow/13280582.cms,CHENNAI: Graft in public projects may be a dirty open secret  but brazen interference by a ward councillor's husband in the bidding for projects has led to the ...
Anti-Corruption | One man  one bribe,Livemint,1 Nov 2012,http://www.livemint.com/Leisure/FfhrsXQ5mNUm5BoH0mcs1M/AntiCorruption--One-man-one-bribe.html,Ten years back  Gopal Kishan Gupta refused to pay a bribe. A simple act  but it had massive repercussions. Gupta's small construction business almost went ...
Should the private sector come under the corruption law?,Business Standard,30 Oct 2012,http://www.business-standard.com/article/opinion/should-the-private-sector-come-under-the-corruption-law-112103100047_1.html,In India  the tendency is to focus more on the one who accepts bribe than on the one who gives it. Empirical literature also has till recently focused on the ...
Saras Dairy Chairperson Demands Rs.10000 Bribe  arrested by ACB,UdaipurTimes,29 Jun 2012,http://udaipurtimes.com/saras-dairy-chairperson-demands-rs-10000-bribe-arrested-by-acb/,The Anti-Corruption Bureau (ACB)  Udaipur has arrested Geeta Patel (in photo above)  the Chairperson of Saras Dudh Dairy for demanding a bribe of Rs 10 000 ...
Army Chief names retired Lt General Tejinder Singh in his bribery ...,NDTV,31 Mar 2012,http://www.ndtv.com/india-news/army-chief-names-retired-lt-general-tejinder-singh-in-his-bribery-complaint-to-cbi-474255,14 crore bribe offered to him to clear tranche of nearly 600 Tatra trucks. CBI sources said that General Singh has assured them of providing more material about ...
Delhi gangrape: Private buses bribe their way to city roads through a ...,India Today,18 Dec 2012,http://indiatoday.intoday.in/story/delhi-gangrape-chartered-buses-bribe-their-way-to-city-roads-without-permits/1/238441.html,Mail Today's investigations reveal that charted buses make money by breaking permit rules and bribing officials responsible for enforcement of permit and traffic ...
