Talaq uttered by Muslim man on cellphone valid: Deoband,Times of India,15 Nov 2010,http://timesofindia.indiatimes.com/india/Talaq-uttered-by-Muslim-man-on-cellphone-valid-Deoband/articleshow/6930276.cms,DEOBAND: Talaq uttered thrice by a Muslim man on a mobile phone will be considered valid even if his wife is unable to hear it all the three times due to ...
Almost every Pakistan match fixed: Hameed,Rediff,5 Sep 2010,http://cricket.rediff.com/report/2010/sep/05/pakistan-match-fixing-almost-every-match-fixed-yasir-hameed.htm,... claimed that his team-mates were involved in fixing "almost every match" even as a fourth touring Pakistani player came under investigation in the scam which ...
NMDC  Tata Steel sign MoU on possible JV,Moneylife Personal Finance Magazine,22 Jan 2010,http://www.moneylife.in/article/nmdc-tata-steel-sign-mou-on-possible-jv/3348.html,State-owned iron ore producer National Mineral Development Corp Ltd (NMDC) and Tata Steel Ltd on Friday signed a memorandum of understanding (MoU) to ...
Will Bharti AXA's core sector fund make the cut?,Moneylife Personal Finance Magazine,22 Jan 2010,http://www.moneylife.in/article/will-bharti-axarsquos-core-sector-fund-make-the-cut/3360.html,Bharti AXA has launched an infrastructure fund. But 12 out of the 20 infrastructure funds have underperformed their benchmarks. Bharti AXA Investment ...
Rahul Gandhi equates RSS with 'fanatical' SIMI,Times of India,6 Oct 2010,http://timesofindia.indiatimes.com/india/Rahul-Gandhi-equates-RSS-with-fanatical-SIMI/articleshow/6699362.cms,BHOPAL: In unusually strident remarks  Rahul Gandhi on Wednesday described the RSS as "fanatical"  saying it was no different from banned terror outfit SIMI ...
India has only a few businessmen with a 'heart',Rediff,10 Sep 2010,http://business.rediff.com/slide-show/2010/sep/10/slide-show-1-special-india-has-only-a-few-bizmen-with-a-heart.htm,If all goes well  the money spent by companies for corporate social responsibility may increase in the days to come  believes Bhupesh Bhandari. Bill Gates  at ...
Telangana leaders to resign today,Chandigarh Tribune,13 Feb 2010,http://www.tribuneindia.com/2010/20100214/nation.htm,Andhra Pradesh has plunged into crisis with the Telangana protagonists deciding to resign from the Assembly after rejecting the terms of reference (ToR) of the ...
CBI plans special court for bank ,Moneylife Personal Finance Magazine,12 Jul 2010,http://www.moneylife.in/article/cbi-plans-special-court-for-bank-securities-fraud-cases/7053.html,The scam was worth over Rs.130 crore. The matter is still in cold storage. The affected depositors have not been paid back their full deposits so far. The bank ...
Anand Mahindra on key challenges for Satyam,Rediff,30 Sep 2010,http://business.rediff.com/interview/2010/sep/30/inter-anand-mahindra-on-challenges-for-satyam.htm,We went into this situation facing a clean-up of what was India's largest corporate scam. The nature of this task is difficult to describe - terrabytes of data  7 500 ...
CBI gets HRD nod to charge AICTE man,Times of India,28 Jul 2010,http://timesofindia.indiatimes.com/india/CBI-gets-HRD-nod-to-charge-AICTE-man/articleshow/6229288.cms,NEW DELHI: The scam in the All India Council for Technical Education has taken another toll. The HRD ministry has given approval for prosecution sanction to ...
